ANIO;MES;DIA;HORA;PESPANIA;PPORTUGAL;
2017;04;01;1;34.49;34.49;
2017;04;01;2;32.85;29.87;
2017;04;01;3;31.53;28.97;
2017;04;01;4;31.53;26.9;
2017;04;01;5;31.47;27;
2017;04;01;6;31.43;27.98;
2017;04;01;7;30.1;29.87;
2017;04;01;8;32.09;32.09;
2017;04;01;9;34.42;34.42;
2017;04;01;10;35.1;35.1;
2017;04;01;11;32.85;32.85;
2017;04;01;12;31.93;31.93;
2017;04;01;13;32;31.6;
2017;04;01;14;32.85;29.41;
2017;04;01;15;33.1;26.62;
2017;04;01;16;33.1;25.3;
2017;04;01;17;32.6;24.83;
2017;04;01;18;32.35;26.75;
2017;04;01;19;32.83;32.83;
2017;04;01;20;38.49;38.49;
2017;04;01;21;39.6;39.6;
2017;04;01;22;40.73;40.73;
2017;04;01;23;39;39;
2017;04;01;24;38;38;

